dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.060465,11.788426,7.871580,8.919003,-6.199663,-0.819714,0.320632
0.020000,12.227471,11.843628,8.047474,8.794688,-6.215746,-0.804150,0.317770
0.020000,12.392277,11.897546,8.220875,8.670060,-6.231375,-0.781453,0.314533
0.020000,12.554888,11.950132,8.391777,8.545120,-6.247018,-0.782188,0.310939
0.020000,12.715309,12.001344,8.560175,8.419874,-6.262316,-0.764854,0.307006
0.020000,12.873544,12.051144,8.726061,8.294325,-6.277411,-0.754795,0.302750
0.020000,13.029593,12.099501,8.889431,8.168476,-6.292456,-0.752222,0.298189
0.020000,13.183454,12.146388,9.050277,8.042339,-6.306875,-0.720956,0.293340
0.020000,13.335125,12.191782,9.208595,7.915899,-6.321984,-0.755435,0.288219
0.020000,13.484600,12.235665,9.364379,7.789172,-6.336351,-0.718345,0.282844
0.020000,13.631872,12.278024,9.517622,7.662157,-6.350738,-0.719371,0.277230
0.020000,13.776934,12.318849,9.668319,7.534854,-6.365154,-0.720815,0.271394
0.020000,13.919775,12.358136,9.816464,7.407263,-6.379578,-0.721186,0.265352
0.020000,14.060385,12.395881,9.962052,7.279394,-6.393428,-0.692503,0.259121
0.020000,14.198751,12.432089,10.105077,7.151238,-6.407792,-0.718219,0.252717
0.020000,14.334859,12.466765,10.245533,7.022805,-6.421684,-0.694588,0.246155
0.020000,14.468696,12.499918,10.383415,6.894093,-6.435572,-0.694370,0.239452
0.020000,14.600246,12.531562,10.518717,6.765106,-6.449374,-0.690104,0.232624
0.020000,14.729493,12.561711,10.651434,6.635848,-6.462872,-0.674932,0.225685
0.020000,14.856420,12.590386,10.781560,6.506318,-6.476497,-0.681252,0.218651
0.020000,14.981011,12.617609,10.909091,6.376523,-6.489773,-0.663765,0.211538
0.020000,15.103249,12.643403,11.034020,6.246464,-6.502923,-0.657501,0.204360
0.020000,15.223115,12.667796,11.156343,6.116148,-6.515831,-0.645416,0.197132
0.020000,15.340592,12.690818,11.276055,5.985575,-6.528628,-0.639835,0.189870
0.020000,15.455662,12.712500,11.393150,5.854756,-6.540959,-0.616575,0.182587
0.020000,15.568308,12.732877,11.507623,5.723689,-6.553338,-0.618916,0.175296
0.020000,15.678511,12.751983,11.619471,5.592383,-6.565295,-0.597872,0.168013
0.020000,15.786256,12.769857,11.728688,5.460843,-6.577008,-0.585632,0.160749
0.020000,15.891524,12.786537,11.835270,5.329084,-6.587965,-0.547869,0.153519
0.020000,15.994300,12.802063,11.939212,5.197094,-6.599503,-0.576915,0.146334
0.020000,16.094567,12.816478,12.040510,5.064899,-6.609738,-0.511753,0.139207
0.020000,16.192310,12.829822,12.139159,4.932495,-6.620200,-0.523071,0.132150
0.020000,16.287514,12.842140,12.235157,4.799895,-6.629998,-0.489933,0.125173
0.020000,16.380166,12.853476,12.328499,4.667100,-6.639729,-0.486501,0.118288
0.020000,16.470250,12.863873,12.419182,4.534125,-6.648777,-0.452419,0.111506
0.020000,16.557755,12.873376,12.507201,4.400968,-6.657871,-0.454727,0.104836
0.020000,16.642668,12.882030,12.592554,4.267652,-6.665760,-0.394409,0.098288
0.020000,16.724978,12.889880,12.675238,4.134181,-6.673587,-0.391351,0.091871
0.020000,16.804674,12.896971,12.755248,4.000532,-6.682417,-0.441523,0.085593
0.020000,16.881746,12.903346,12.832584,3.866781,-6.687582,-0.258223,0.079464
0.020000,16.956185,12.909051,12.907241,3.732849,-6.696565,-0.449163,0.073490
0.020000,17.027982,12.914127,12.979217,3.598820,-6.701479,-0.245733,0.067679
0.020000,17.097130,12.918619,13.048511,3.464671,-6.707450,-0.298533,0.062038
0.020000,17.163620,12.922567,13.115118,3.330375,-6.714778,-0.366412,0.056573
0.020000,17.227448,12.926013,13.179039,3.196023,-6.717602,-0.141171,0.051291
0.020000,17.288606,12.928996,13.240269,3.061524,-6.724967,-0.368246,0.046196
0.020000,17.347089,12.931556,13.298809,2.926964,-6.727975,-0.150407,0.041295
0.020000,17.402893,12.933731,13.354655,2.792316,-6.732422,-0.222341,0.036592
0.020000,17.456013,12.935556,13.407807,2.657582,-6.736681,-0.212952,0.032092
0.020000,17.506446,12.937067,13.458262,2.522759,-6.741152,-0.223564,0.027799
0.020000,17.554188,12.938297,13.506020,2.387895,-6.743222,-0.103502,0.023717
0.020000,17.599236,12.939278,13.551079,2.252961,-6.746684,-0.173101,0.019848
0.020000,17.641589,12.940042,13.593438,2.117960,-6.750044,-0.168023,0.016198
0.020000,17.681243,12.940616,13.633096,1.982916,-6.752199,-0.107709,0.012768
0.020000,17.718197,12.941029,13.670053,1.847840,-6.753819,-0.080993,0.009561
0.020000,17.752450,12.941305,13.704307,1.712676,-6.758201,-0.219116,0.006580
0.020000,17.784000,12.941469,13.735857,1.577508,-6.758387,-0.009293,0.003827
0.020000,17.812846,12.941543,13.764703,1.442304,-6.760222,-0.091770,0.001304
0.020000,17.838987,12.941547,13.790844,1.307071,-6.761618,-0.069774,6.282197
0.020000,17.862423,12.941500,13.814280,1.171795,-6.763826,-0.110408,6.280139
0.020000,17.883153,12.941418,13.835010,1.036502,-6.764658,-0.041615,6.278315
0.020000,17.901176,12.941316,13.853034,0.901182,-6.765992,-0.066715,6.276727
0.020000,17.916493,12.941207,13.868351,0.765859,-6.766138,-0.007305,6.275376
0.020000,17.929103,12.941101,13.880961,0.630516,-6.767155,-0.050845,6.274262
0.020000,17.939006,12.941009,13.890865,0.495178,-6.766916,0.011987,6.273387
0.020000,17.946201,12.940936,13.898060,0.359766,-6.770603,-0.184348,6.272751
0.020000,17.950689,12.940888,13.902549,0.224427,-6.766908,0.184747,6.272354
0.020000,17.952702,12.940866,13.904562,0.100635,-6.189618,28.864503,6.272175
0.020000,17.953147,12.940861,13.905007,0.022263,-3.918619,113.549909,6.272136
0.020000,17.953147,12.940861,13.905007,0.000000,-1.113132,140.274371,6.272136
