dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.113504,11.068212,7.919727,8.970955,-6.935456,0.837286,0.323102
0.020000,12.281081,11.124100,8.096379,8.832573,-6.919108,0.817396,0.320632
0.020000,12.446186,11.178674,8.270269,8.694511,-6.903087,0.801060,0.317770
0.020000,12.608838,11.231888,8.441405,8.556768,-6.887181,0.795286,0.314533
0.020000,12.769055,11.283700,8.609791,8.419332,-6.871788,0.769686,0.310939
0.020000,12.926854,11.334074,8.775435,8.282202,-6.856487,0.765013,0.307006
0.020000,13.082247,11.382980,8.938343,8.145375,-6.841369,0.755920,0.302750
0.020000,13.235246,11.430392,9.098520,8.008844,-6.826530,0.741951,0.298189
0.020000,13.385860,11.476289,9.255972,7.872617,-6.811365,0.758223,0.293340
0.020000,13.534097,11.520656,9.410705,7.736674,-6.797128,0.711890,0.288219
0.020000,13.679961,11.563479,9.562726,7.601027,-6.782386,0.737089,0.282844
0.020000,13.823457,11.604752,9.712039,7.465669,-6.767865,0.726022,0.277230
0.020000,13.964586,11.644471,9.858651,7.330598,-6.753559,0.715327,0.271394
0.020000,14.103350,11.682636,10.002567,7.195809,-6.739437,0.706105,0.265352
0.020000,14.239747,11.719251,10.143794,7.061311,-6.724934,0.725133,0.259121
0.020000,14.373776,11.754324,10.282335,6.927089,-6.711113,0.691074,0.252717
0.020000,14.505433,11.787865,10.418198,6.793148,-6.697025,0.704363,0.246155
0.020000,14.634715,11.819891,10.551388,6.659485,-6.683144,0.694088,0.239452
0.020000,14.761617,11.850416,10.681910,6.526097,-6.669410,0.686665,0.232624
0.020000,14.886134,11.879462,10.809770,6.392984,-6.655641,0.688447,0.225685
0.020000,15.008259,11.907053,10.934973,6.260139,-6.642281,0.668014,0.218651
0.020000,15.127986,11.933212,11.057524,6.127560,-6.628904,0.668875,0.211538
0.020000,15.245307,11.957969,11.177429,5.995245,-6.615761,0.657138,0.204360
0.020000,15.360216,11.981353,11.294692,5.863190,-6.602778,0.649128,0.197132
0.020000,15.472704,12.003398,11.409320,5.731387,-6.590119,0.632963,0.189870
0.020000,15.582764,12.024136,11.521317,5.599838,-6.577483,0.631785,0.182587
0.020000,15.690388,12.043604,11.630688,5.468530,-6.565400,0.604173,0.175296
0.020000,15.795568,12.061840,11.737437,5.337460,-6.553459,0.597060,0.168013
0.020000,15.898296,12.078882,11.841569,5.206623,-6.541864,0.579708,0.160749
0.020000,15.998566,12.094770,11.943090,5.076020,-6.530165,0.584954,0.153519
0.020000,16.096369,12.109545,12.042002,4.945627,-6.519666,0.524963,0.146334
0.020000,16.191698,12.123249,12.138311,4.815455,-6.508601,0.553254,0.139207
0.020000,16.284546,12.135926,12.232021,4.685485,-6.498452,0.507436,0.132150
0.020000,16.374907,12.147617,12.323135,4.555718,-6.488396,0.502808,0.125173
0.020000,16.462775,12.158367,12.411658,4.426137,-6.479015,0.469036,0.118288
0.020000,16.548143,12.168220,12.497593,4.296742,-6.469743,0.463623,0.111506
0.020000,16.631006,12.177219,12.580943,4.167517,-6.461280,0.423172,0.104836
0.020000,16.711359,12.185408,12.661713,4.038468,-6.452446,0.441696,0.098288
0.020000,16.789197,12.192832,12.739904,3.909581,-6.444329,0.405812,0.091871
0.020000,16.864516,12.199533,12.815521,3.780823,-6.437935,0.319731,0.085593
0.020000,16.937313,12.205555,12.888566,3.652246,-6.428844,0.454517,0.079464
