dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.170773,11.456263,7.997243,8.810197,-6.559336,0.000000,0.320632
0.020000,12.336829,11.511151,8.172135,8.679010,-6.559336,0.000000,0.317770
0.020000,12.500557,11.564717,8.344404,8.547823,-6.559336,0.000000,0.314533
0.020000,12.661971,11.616916,8.514048,8.416636,-6.559336,0.000000,0.310939
0.020000,12.821082,11.667709,8.681069,8.285450,-6.559336,0.000000,0.307006
0.020000,12.977896,11.717062,8.845466,8.154263,-6.559336,0.000000,0.302750
0.020000,13.132419,11.764947,9.007240,8.023076,-6.559336,0.000000,0.298189
0.020000,13.284657,11.811339,9.166389,7.891890,-6.559336,-0.000000,0.293340
0.020000,13.434611,11.856219,9.322915,7.760703,-6.559336,0.000000,0.288219
0.020000,13.582280,11.899572,9.476817,7.629516,-6.559336,-0.000000,0.282844
0.020000,13.727665,11.941388,9.628096,7.498329,-6.559336,0.000000,0.277230
0.020000,13.870760,11.981660,9.776751,7.367143,-6.559336,-0.000000,0.271394
0.020000,14.011562,12.020386,9.922782,7.235956,-6.559336,0.000000,0.265352
0.020000,14.150066,12.057566,10.066189,7.104769,-6.559336,0.000000,0.259121
0.020000,14.286263,12.093206,10.206972,6.973583,-6.559336,0.000000,0.252717
0.020000,14.420146,12.127315,10.345132,6.842396,-6.559336,0.000000,0.246155
0.020000,14.551706,12.159904,10.480668,6.711209,-6.559336,-0.000000,0.239452
0.020000,14.680932,12.190989,10.613580,6.580022,-6.559336,0.000000,0.232624
0.020000,14.807813,12.220587,10.743869,6.448836,-6.559336,0.000000,0.225685
0.020000,14.932340,12.248719,10.871534,6.317649,-6.559336,0.000000,0.218651
0.020000,15.054499,12.275410,10.996575,6.186462,-6.559336,-0.000000,0.211538
0.020000,15.174278,12.300686,11.118992,6.055275,-6.559336,0.000000,0.204360
0.020000,15.291665,12.324575,11.238786,5.924089,-6.559336,-0.000000,0.197132
0.020000,15.406648,12.347108,11.355956,5.792902,-6.559336,0.000000,0.189870
0.020000,15.519213,12.368318,11.470502,5.661715,-6.559336,-0.000000,0.182587
0.020000,15.629348,12.388240,11.582425,5.530529,-6.559336,-0.000000,0.175296
0.020000,15.737040,12.406911,11.691723,5.399342,-6.559336,0.000000,0.168013
0.020000,15.842276,12.424369,11.798398,5.268155,-6.559336,-0.000000,0.160749
0.020000,15.945045,12.440653,11.902449,5.136968,-6.559336,0.000000,0.153519
0.020000,16.045334,12.455804,12.003877,5.005782,-6.559336,-0.000000,0.146334
0.020000,16.143132,12.469863,12.102681,4.874595,-6.559336,0.000000,0.139207
0.020000,16.238428,12.482874,12.198861,4.743408,-6.559336,0.000000,0.132150
0.020000,16.331211,12.494879,12.292417,4.612222,-6.559336,0.000000,0.125173
0.020000,16.421470,12.505921,12.383350,4.481035,-6.559336,0.000000,0.118288
0.020000,16.509196,12.516046,12.471658,4.349848,-6.559336,0.000000,0.111506
0.020000,16.594380,12.525297,12.557344,4.218661,-6.559336,0.000000,0.104836
0.020000,16.677014,12.533719,12.640405,4.087475,-6.559336,0.000000,0.098288
0.020000,16.757088,12.541356,12.720843,3.956288,-6.559336,0.000000,0.091871
0.020000,16.834595,12.548252,12.798656,3.825101,-6.559336,0.000000,0.085593
0.020000,16.909530,12.554451,12.873847,3.693915,-6.559336,0.000000,0.079464
0.020000,16.981884,12.559995,12.946413,3.562728,-6.559336,-0.000000,0.073490
0.020000,17.051652,12.564928,13.016356,3.431541,-6.559336,0.000000,0.067679
0.020000,17.118829,12.569292,13.083675,3.300354,-6.559336,0.000000,0.062038
0.020000,17.183411,12.573127,13.148370,3.169168,-6.559336,0.000000,0.056573
0.020000,17.245392,12.576473,13.210441,3.037981,-6.559336,-0.000000,0.051291
0.020000,17.304769,12.579370,13.269889,2.906794,-6.559336,0.000000,0.046196
0.020000,17.361538,12.581855,13.326713,2.775607,-6.559336,0.000000,0.041295
0.020000,17.415697,12.583965,13.380913,2.644421,-6.559336,-0.000000,0.036592
0.020000,17.467244,12.585736,13.432490,2.513234,-6.559336,0.000000,0.032092
0.020000,17.516174,12.587202,13.481443,2.382047,-6.559336,-0.000000,0.027799
0.020000,17.562488,12.588395,13.527772,2.250861,-6.559336,0.000000,0.023717
0.020000,17.606183,12.589347,13.571477,2.119674,-6.559336,0.000000,0.019848
0.020000,17.647258,12.590088,13.612559,1.988487,-6.559336,-0.000000,0.016198
0.020000,17.685712,12.590645,13.651017,1.857300,-6.559336,0.000000,0.012768
0.020000,17.721544,12.591045,13.686851,1.726114,-6.559336,-0.000000,0.009561
0.020000,17.754753,12.591313,13.720061,1.594927,-6.559336,0.000000,0.006580
